帮会名,玩家,等级,职业,所在团长,击败,助攻,战备资源,对玩家伤害,对建筑伤害,治疗值,承受伤害,重伤,青灯焚骨,化羽,控制
满月,尐乖゜,69,九灵,沈临渊,4,32,0,7026501,10031733,259808,24310170,7,15,0,725
满月,夜行,69,玄机,月昭,2,22,0,4414904,9638739,34391,17574371,11,0,0,15
满月,苏棣゛,69,血河,沈临渊,10,31,0,6600705,26435684,340618,49863831,13,0,5,179
满月,墨染青衣颜,69,素问,小小丶,0,20,0,28027,225575,11229262,27079968,8,0,5,7
满月,一五一十,69,九灵,沈临渊,3,17,0,3226384,5019503,168316,37618527,10,9,0,301
满月,明月日,69,铁衣,抱月゛,0,16,0,3217400,70984,56870,65453456,12,0,0,927
满月,打架先喊救命,69,神相,月昭,4,51,0,12505877,5947300,11614,38956563,8,0,0,678
满月,右边喨,69,铁衣,沈临渊,0,24,0,3938477,7160687,51026,54880414,8,0,0,721
满月,来一刀,69,玄机,小小丶,2,8,0,1546175,41600529,155527,13166677,7,0,0,34
满月,幸运丶,69,血河,小小丶,1,6,0,1493792,40645917,202715,15473009,6,0,0,63
满月,胖大鹅,69,玄机,沈临渊,6,29,0,8007837,15483771,0,29347861,9,0,0,33
满月,青阳天炎,69,血河,月昭,2,30,0,5593195,10238805,180785,40746486,7,0,0,172
满月,君悦兮,69,云瑶,抱月゛,3,36,0,13979172,286308,55018,14364828,3,0,0,106
满月,弑夜゛,69,神相,月昭,3,45,0,10072790,4582202,35955,49751844,5,0,0,441
满月,余十一,69,鸿音,抱月゛,1,63,0,6109314,0,6454827,61917041,6,0,2,260
满月,苏棣,69,神相,沈临渊,2,28,0,5157444,11657356,0,29275610,10,0,0,475
满月,一梦醉逍遥,69,铁衣,抱月゛,1,18,0,3089860,62107,64653,76615111,21,0,7,823
满月,词雾,69,鸿音,月昭,1,73,0,1669393,2933857,4065305,37079065,8,0,1,89
满月,烟火年年,69,铁衣,抱月゛,0,29,0,8206732,251932,73585,79039181,7,0,2,1328
满月,虚乌,69,血河,沈临渊,4,27,0,4124919,17169098,182408,54756683,10,0,1,152
满月,君不再希,69,素问,沈临渊,0,73,0,78652,160764,10474895,59576878,12,0,7,9
满月,屿禾,69,鸿音,沈临渊,3,71,0,3464467,5238812,5214036,57117933,16,0,5,84
满月,小小丶,69,鸿音,小小丶,1,16,0,697316,16511279,5029694,20075885,7,0,2,65
满月,间风,69,铁衣,小小丶,1,8,0,1107694,30271959,157955,21748085,7,0,0,221
满月,舟云云,69,沧澜,月昭,5,35,0,4315551,7502618,223819,72571127,11,0,3,432
满月,沉迷一号,69,铁衣,月昭,2,44,0,2806047,1229804,109032,82621211,8,0,3,712
满月,神罚゛,69,神相,抱月゛,7,44,0,30082423,480964,25498,44390204,6,0,2,1588
满月,丫乀,69,血河,沈临渊,2,10,0,4501858,14038903,230944,38641347,17,0,5,94
满月,抱月゛,69,血河,抱月゛,8,34,0,5833550,180513,183210,64057900,12,0,0,221
满月,爱旋转的小熊猫,69,神相,沈临渊,1,40,0,5685051,8686093,0,36381385,10,0,0,293
满月,采采卷耳゛,69,素问,抱月゛,0,60,0,37525,0,10727531,66334499,9,0,5,7
满月,九灬灵,69,九灵,小小丶,1,4,0,1186261,51937190,307468,20439167,6,2,0,206
满月,五粮液,69,神相,抱月゛,5,47,0,16628257,269145,23657,33940043,8,0,0,1495
满月,晨曦゛,69,素问,月昭,0,78,0,71059,31484,11888305,66770829,9,0,8,12
满月,小开司,69,碎梦,抱月゛,9,53,0,19290484,0,20807,46965850,7,0,0,174
满月,菟菟叽゛,69,鸿音,抱月゛,2,80,0,3658756,65003,4280458,56748212,11,0,4,175
满月,云起ゞ,69,素问,抱月゛,0,59,0,93910,0,12249359,84608493,9,0,8,14
满月,悬枝,69,素问,沈临渊,0,54,0,63717,69105,9479357,47054037,10,0,5,9
满月,凛゛,69,神相,抱月゛,8,50,0,14767337,594047,28260,26517031,10,0,0,1276
满月,浪吖,69,神相,抱月゛,7,62,0,27432771,56699,27441,34234820,5,0,0,1899
满月,是清秋啊,69,血河,抱月゛,4,29,0,9599230,0,382857,41842296,8,0,0,264
满月,嘻嘻,69,素问,沈临渊,0,50,0,37801,12169,9376201,45537218,11,0,8,13
满月,张嘉怡,69,碎梦,小小丶,0,0,0,320328,0,0,1552092,1,0,0,15
满月,越今朝,69,碎梦,小小丶,2,17,0,1890190,55606246,129483,17732354,7,0,0,23
满月,枕星辞゛,69,神相,月昭,2,32,0,5546905,7140788,23197,39925793,11,0,0,370
满月,君卿颜,69,鸿音,抱月゛,0,71,0,4651575,138868,4958580,58483202,8,0,4,231
满月,小椰抱,69,素问,抱月゛,0,74,0,115070,0,12599992,74447076,7,0,7,25
满月,晚来风不及,69,素问,小小丶,0,10,0,16589,107284,8076470,20410496,9,0,2,5
满月,白桃煮酒,69,神相,抱月゛,2,26,0,5830406,91867,34804,42561416,11,0,0,354
满月,小娇,69,素问,沈临渊,0,62,0,55419,178594,9374545,58159933,16,0,7,9
满月,月昭,69,神相,月昭,2,54,0,8365192,8368851,13148,33238828,9,0,0,574
满月,沈临渊,69,铁衣,沈临渊,0,28,0,1491078,6788296,23495,51510217,10,0,0,331
满月,小摇,69,素问,抱月゛,0,64,0,103672,0,11882261,77248782,8,0,4,18
满月,金沉沙,69,玄机,小小丶,0,6,0,1773998,74179477,103597,17034102,5,0,0,6
满月,倾诉情话,69,素问,抱月゛,0,80,0,63377,0,10086433,70703435,12,0,6,14
满月,可爱可爱,69,素问,月昭,0,85,0,73342,139779,11444358,56165228,11,0,9,13
满月,廾丿,69,鸿音,抱月゛,0,61,0,2653102,59224,4151674,45758486,7,0,0,136
满月,山河ミ,69,神相,小小丶,1,4,0,5257667,34597935,27642,13448367,5,0,0,471
满月,愿你爱我永远,69,鸿音,沈临渊,3,85,0,2883477,5183172,5507971,53284368,9,0,1,90
