帮会名,玩家,等级,职业,所在团长,击败,助攻,战备资源,对玩家伤害,对建筑伤害,治疗值,承受伤害,重伤,青灯焚骨,化羽,控制
满月,大白不吃香菜,69,铁衣,月昭,0,0,0,0,16679436,5203,344481,0,0,0,25
满月,夜行,69,玄机,月昭,0,3,0,16028,47602469,0,1021216,0,0,0,0
满月,墨染青衣颜,69,素问,小小丶,0,7,0,220,453963,2473200,942058,0,0,0,0
满月,沈羡鱼,69,九灵,沈临渊,1,2,0,3021,24083858,34038,1237903,0,2,0,52
满月,心悦,69,沧澜,月昭,0,1,0,11522,45600716,107,596719,0,0,0,0
满月,打架先喊救命,69,神相,月昭,1,4,0,54373,25273469,0,311619,0,0,0,1
满月,右边喨,69,铁衣,沈临渊,0,0,0,0,30242520,0,312904,0,0,0,22
满月,沈临渊,69,铁衣,沈临渊,0,2,0,1023,8857578,18313,427451,0,0,0,38
满月,凛゛,69,神相,抱月゛,1,37,0,4589532,0,0,8617305,1,0,0,355
满月,越今朝,69,碎梦,小小丶,0,0,0,541,62347629,0,777300,0,0,0,0
满月,幸运丶,69,血河,小小丶,0,0,0,318,31738320,32766,464640,0,0,0,0
满月,胖大鹅,69,玄机,沈临渊,3,4,0,225415,34243517,0,201847,0,0,0,4
满月,集火,69,素问,小小丶,0,4,0,0,61609,4113575,907174,0,0,0,0
满月,青阳天炎,69,血河,月昭,0,0,0,744,26252704,24165,440018,0,0,0,0
满月,弑夜゛,69,神相,月昭,1,4,0,41748,22401580,0,138063,0,0,0,1
满月,苏棣,69,神相,沈临渊,0,0,0,25644,34652666,0,349268,0,0,0,1
满月,一梦醉逍遥,69,铁衣,抱月゛,1,13,0,1108888,0,3802,15188192,3,0,0,283
满月,悬枝,69,素问,沈临渊,0,5,0,0,85875,2829885,1071634,0,0,0,0
满月,词雾,69,鸿音,月昭,0,2,0,3232,9978723,1998330,394054,0,0,0,0
满月,烟火年年,69,铁衣,抱月゛,0,21,0,3323836,0,19842,24707404,3,0,0,713
满月,白梦辞゛,69,素问,沈临渊,0,2,0,0,50096,3936686,384949,0,0,0,0
满月,虚乌,69,血河,沈临渊,0,0,0,8182,24309303,18868,324113,0,0,0,0
满月,君不再希,69,素问,沈临渊,0,5,0,0,96263,2529248,597374,0,0,0,0
满月,屿禾,69,鸿音,沈临渊,0,4,0,0,15068002,2619524,265236,0,0,0,0
满月,小小丶,69,鸿音,小小丶,0,6,0,8498,8930617,1679068,368478,0,0,0,0
满月,间风,69,铁衣,小小丶,0,1,0,2474,24199168,0,443847,0,0,0,31
