帮会名,玩家,等级,职业,所在团长,击败,助攻,战备资源,对玩家伤害,对建筑伤害,治疗值,承受伤害,重伤,青灯焚骨,化羽,控制
满月,尐乖゜,69,九灵,沈临渊,1,10,0,3768774,1771411,208064,20024847,7,4,0,405
满月,夜行,69,玄机,神罚゛,1,26,0,5996972,0,28550,20861749,10,0,0,16
满月,苏棣゛,69,血河,沈临渊,2,17,0,4066687,20294342,278577,31334608,12,0,4,141
满月,墨染青衣颜,69,素问,小小丶,0,32,0,70120,22530158,3333523,27027233,6,0,2,6
满月,一五一十,69,九灵,神罚゛,0,7,0,2664861,0,191741,47273912,7,5,0,312
满月,沈羡鱼,69,九灵,沈临渊,0,9,0,1030879,20028775,145120,23908625,6,5,0,96
满月,明月日,69,铁衣,抱月゛,2,10,0,3558985,384164,39401,54620888,9,0,0,894
满月,心悦,69,沧澜,小小丶,0,4,0,2182618,41448032,97961,23545078,5,0,0,73
满月,打架先喊救命,69,神相,神罚゛,3,33,0,15650111,0,12269,34326166,10,0,0,1089
满月,右边喨,69,铁衣,沈临渊,0,18,0,2774604,7752426,42921,54602590,8,0,0,552
满月,亦琛,69,血河,神罚゛,2,10,0,3291251,892948,172040,43943697,9,0,0,113
满月,沈临渊,69,铁衣,沈临渊,1,11,0,1250667,7802257,24154,43476197,7,0,0,353
满月,来一刀,69,玄机,抱月゛,5,27,0,7380822,0,0,26011973,9,0,0,80
满月,略略,69,鸿音,抱月゛,2,54,0,2491723,0,3287012,44665514,6,0,1,141
满月,幸运丶,69,血河,小小丶,1,22,0,2621531,32169324,303390,30278110,5,0,0,99
满月,胖大鹅,69,玄机,沈临渊,0,14,0,4333887,23121366,0,18840224,6,0,0,26
满月,青阳天炎,69,血河,神罚゛,2,11,0,4245216,498716,265439,66066507,12,0,3,201
满月,君悦兮,69,云瑶,抱月゛,5,18,0,13861549,0,0,9676278,2,0,0,189
满月,鹤眠゛,69,素问,沈临渊,0,33,0,39489,62142,8392555,33755067,8,0,6,12
满月,弑夜゛,69,神相,神罚゛,4,30,0,13156255,155729,25121,63781182,7,0,0,536
