帮会名,玩家,等级,职业,所在团长,击败,助攻,战备资源,对玩家伤害,对建筑伤害,治疗值,承受伤害,重伤,青灯焚骨,化羽,控制
满月,尐乖゜,69,九灵,沈临渊,21,185,0,14160368,29086543,347027,36752665,2,62,0,1291
满月,夜行,69,玄机,神罚゛,6,96,0,4855021,178983746,43347,17739894,1,0,0,14
满月,墨染青衣颜,69,素问,小小丶,0,247,0,99354,288228,15239171,53323495,11,0,12,13
满月,一五一十,69,九灵,神罚゛,11,128,0,3444924,65279867,204514,33897755,4,59,0,345
满月,沈羡鱼,69,九灵,沈临渊,6,76,0,3732658,27529419,212075,42579648,10,38,0,257
满月,明月日,69,铁衣,抱月゛,11,139,0,5571023,12510952,104623,95996889,8,0,1,1087
满月,心悦,69,沧澜,小小丶,10,134,0,9982954,55600647,324777,71462970,8,0,0,294
满月,右边喨,69,铁衣,沈临渊,10,168,0,8524819,13898189,87687,84535227,9,0,1,1285
满月,亦琛,69,血河,神罚゛,6,138,0,5519161,120415193,288476,48116017,4,0,0,151
满月,沈临渊,69,铁衣,沈临渊,3,122,0,3614566,17444625,39559,79192776,9,0,0,716
满月,来一刀,69,玄机,小小丶,12,124,0,11401117,136582359,310489,38015775,9,0,0,62
满月,越今朝,69,碎梦,小小丶,22,240,0,17103421,50072873,120889,34225340,7,0,0,175
满月,幸运丶,69,血河,小小丶,15,106,0,6102327,57327063,585977,49290515,9,0,0,208
满月,集火,69,素问,小小丶,0,277,0,108590,428567,17855053,84407515,9,0,7,23
满月,青阳天炎,69,血河,神罚゛,20,97,0,6187763,102574467,275694,38205543,2,0,1,177
满月,弑夜゛,69,神相,神罚゛,38,199,0,19581051,61186894,31932,56566108,3,0,0,683
满月,余十一,69,鸿音,抱月゛,28,487,0,11405884,13237192,8849621,71014411,6,0,4,313
满月,苏棣,69,神相,沈临渊,14,185,0,13070856,38621392,0,50017202,6,0,0,949
满月,悬枝,69,素问,沈临渊,0,450,0,157703,633456,17308632,71348680,7,0,10,20
满月,词雾,69,鸿音,神罚゛,10,244,0,3714892,33806951,9378884,41274458,5,0,2,156
满月,白梦辞゛,69,素问,沈临渊,0,352,0,136568,287574,16704819,54140772,7,0,6,21
满月,虚乌,69,血河,沈临渊,14,92,0,5813471,37323070,291230,72094527,15,0,3,162
满月,君不再希,69,素问,沈临渊,0,425,0,126482,179721,15270482,86459163,10,0,5,23
满月,屿禾,69,鸿音,沈临渊,17,295,0,10764966,32843627,3547618,78379197,12,0,4,244
满月,丶浩辰,69,九灵,抱月゛,8,176,0,5113197,20541366,92670,52836297,7,72,0,247
满月,小小丶,69,鸿音,小小丶,2,228,0,4712757,19599491,6680023,70047778,11,0,5,287
满月,长歌゛,69,铁衣,沈临渊,5,119,0,3585238,7046374,73058,89554274,11,0,0,622
满月,舟云云,69,沧澜,神罚゛,9,116,0,6223896,114648962,21018,48287296,4,0,0,151
满月,愿你爱我永远,69,鸿音,沈临渊,6,204,0,6228202,27631668,6148360,73178636,11,0,1,204
满月,神罚゛,69,神相,神罚゛,29,215,0,15765372,105710450,42086,33470000,3,0,0,620
满月,水星季,69,血河,神罚゛,25,142,0,14793331,93466315,431935,45887659,6,0,2,378
满月,夜月无痕,69,沧澜,抱月゛,14,143,0,11344964,20533991,52489,79159173,5,0,3,378
满月,抱月゛,69,血河,抱月゛,24,149,0,10749329,26691247,317506,87308037,11,0,4,323
满月,爱旋转的小熊猫,69,神相,沈临渊,24,220,0,16555553,43937506,0,56669348,9,0,0,709
满月,九灬灵,69,九灵,小小丶,12,188,0,10909070,55384624,470611,67219376,4,72,0,1040
满月,晨曦゛,69,素问,神罚゛,0,348,0,83723,523980,13526750,57501720,5,0,8,4
满月,星晚晚゛,69,素问,神罚゛,1,337,0,77391,409232,21028663,58523789,6,0,7,2
满月,浪吖,69,神相,抱月゛,36,387,0,39660405,21559017,0,57607821,6,0,0,2241
满月,打架先喊救命,69,神相,神罚゛,23,205,0,14941330,66677002,35419,28353413,3,0,0,727
满月,君悦兮,69,云瑶,抱月゛,40,298,0,21707558,11792578,0,23039015,4,0,0,134
满月,小开司,69,碎梦,抱月゛,73,320,0,36912722,12130331,0,46549606,3,0,0,298
满月,张嘉怡,69,碎梦,小小丶,3,51,0,2730470,2609191,27372,8882308,2,0,0,95
满月,小娇,69,素问,沈临渊,0,364,0,59369,329682,14519834,65605331,10,0,10,13
满月,烟火年年,69,神相,抱月゛,22,215,0,15752143,23337475,0,65012831,7,0,0,758
满月,枕星辞゛,69,神相,神罚゛,8,121,0,5705928,57544507,25319,45276289,8,0,0,452
满月,君卿颜,69,鸿音,抱月゛,8,349,0,5874387,6984028,6178762,58987385,5,0,1,205
满月,小椰抱,69,素问,抱月゛,2,443,0,218055,270542,17460018,94158690,5,0,8,24
满月,陌上丶,69,血河,沈临渊,14,96,0,9410806,47402727,328043,69152253,10,0,0,272
满月,张辽,69,铁衣,抱月゛,14,230,0,9565582,3507181,86366,88244639,3,0,1,1511
满月,小棠,69,九灵,神罚゛,7,123,0,3397366,86072020,193995,36917834,4,43,0,381
满月,木沐,69,血河,抱月゛,18,159,0,9829551,22997644,429339,64808065,6,0,0,451
满月,苍山映月,69,血河,小小丶,16,144,0,11180341,72617730,570852,54171467,8,0,0,366
满月,月昭,69,神相,神罚゛,18,186,0,10894775,72962321,70271,42674014,6,0,0,574
满月,小摇,69,素问,抱月゛,0,473,0,165182,195479,16018263,95456046,8,0,6,24
满月,倾诉情话,69,素问,神罚゛,0,335,0,45510,202426,14094490,44019727,7,0,3,5
满月,凛゛,69,神相,抱月゛,28,295,0,20536807,34105861,0,43140275,3,0,0,1282
满月,带刀好人,69,血河,小小丶,15,129,0,12189695,112063463,479491,57603474,5,0,0,332
满月,鹤眠゛,69,素问,沈临渊,0,350,0,115753,249914,13949699,76826725,12,0,5,17
满月,沉迷一号,69,铁衣,神罚゛,3,165,0,5552099,13626995,188586,62342251,5,0,2,1057
满月,小悠米,69,素问,神罚゛,0,352,0,92121,539394,17520642,48029596,2,0,2,14
满月,曦禾゛,69,素问,小小丶,0,251,0,54201,363623,16950546,60895220,11,0,11,9
