帮会名,玩家,等级,职业,所在团长,击败,助攻,战备资源,对玩家伤害,对建筑伤害,治疗值,承受伤害,重伤,青灯焚骨,化羽,控制
满月,想想办法,69,玄机,小小丶,6,85,0,8135088,16360214,58388,20203746,3,0,0,51
满月,抖゛音秋秋丫,69,碎梦,月昭,10,53,0,3029943,31015200,37424,10531757,2,0,0,25
满月,愿你爱我永远,69,鸿音,沈临渊,7,46,0,3242949,9703766,4304956,29129793,5,0,2,80
满月,当心小蛋糕,69,神相,小小丶,7,114,0,15898770,5733374,91945,22841975,3,0,0,937
满月,沈临渊,69,铁衣,沈临渊,0,29,0,1083271,8637279,20478,31065018,7,0,0,264
满月,苍山映月,69,血河,小小丶,9,52,0,7556724,7570715,252315,20872387,3,0,0,176
满月,厌璃,69,素问,月昭,0,155,0,19454,27071,7271141,16731511,2,0,2,4
满月,苏棣゛,69,血河,沈临渊,0,26,0,4541341,38633534,195856,23389903,5,0,1,160
满月,白镜离゛,69,血河,沈临渊,7,22,0,4193506,26464074,187590,28964175,5,0,1,142
满月,神罚゛,69,神相,抱月゛,9,81,0,5905390,75507695,0,11013952,0,0,0,252
满月,北城晚秋,69,九灵,抱月゛,4,56,0,1800701,57479141,104225,14090485,1,24,0,220
满月,貴方観測日和,69,血河,沈临渊,3,42,0,7483640,25652896,279132,30278430,2,0,0,341
满月,打架先喊救命,69,神相,月昭,7,103,0,5511787,44542181,9662,12614926,1,0,0,268
满月,挽风ゞ,69,血河,月昭,7,71,0,2615943,60063966,131265,15713820,2,0,1,45
满月,再无分离,69,云瑶,小小丶,11,57,0,5633136,5756288,83341,14039208,4,0,0,47
满月,潇湘清嫣,69,神相,小小丶,6,92,0,6246641,4271185,125216,27930144,5,0,0,512
满月,迷欢,69,碎梦,月昭,11,68,0,3770092,60414216,31230,8832109,0,0,0,40
满月,星河啊,69,神相,沈临渊,6,36,0,6829083,21905237,0,11881478,3,0,0,432
满月,大毛,69,鸿音,沈临渊,3,31,0,3980839,14377064,820236,23265228,6,0,1,104
满月,廾丿,69,鸿音,抱月゛,3,97,0,765238,23873107,2808701,21516786,2,0,1,26
满月,弑夜゛,69,碎梦,月昭,17,99,0,5966719,106934459,20181,7914463,0,0,0,23
满月,不语,69,碎梦,小小丶,1,34,0,2377011,745447,31934,12140474,2,0,0,14
满月,凛゛,69,神相,抱月゛,5,77,0,2705374,74434792,0,11041824,0,0,0,186
满月,是清秋啊,69,血河,抱月゛,4,28,0,1482244,77313441,88609,8309865,1,0,0,37
满月,山河ミ,69,神相,小小丶,4,111,0,10655945,8205929,22148,12104836,1,0,0,743
满月,认输,69,鸿音,月昭,0,154,0,1397403,19010887,2903841,19244359,0,0,0,59

帮会名,玩家,等级,职业,所在团长,击败,助攻,战备资源,对玩家伤害,对建筑伤害,治疗值,承受伤害,重伤,青灯焚骨,化羽,控制
十二楼五城,不胜人间一场醉,69,九灵,嗨宝゛,2,35,0,1226618,22143673,209860,25072684,6,19,0,52
十二楼五城,破晓,69,鸿音,芳菲,2,9,0,1202261,3481821,329189,17137917,6,0,0,49
十二楼五城,盏゛,69,九灵,芳菲,1,38,0,2201599,10484516,82508,25743897,6,15,0,288
十二楼五城,慕雪,69,素问,嗨宝゛,0,83,0,37979,239710,7282605,31583282,5,0,5,7
十二楼五城,夜幕,69,神相,芳菲,0,42,0,3375492,10756666,0,17450007,6,0,0,294
十二楼五城,旺仔小笼包,69,血河,嗨宝゛,9,30,0,8553612,4600213,280059,13944649,1,0,0,209
十二楼五城,别太天真,69,神相,无,0,0,0,0,0,0,0,0,0,0,0
十二楼五城,清越越丶,69,血河,芳菲,1,12,0,2287662,31746097,152694,16809239,4,0,0,59
十二楼五城,孤单事,69,血河,芳菲,4,45,0,4133953,15471543,192708,23296358,1,0,0,171
十二楼五城,风影丶,69,碎梦,无,0,0,720,228307,0,0,2810363,1,0,0,4
十二楼五城,夏天゛,69,血河,芳菲,7,24,0,3663283,31733954,132321,12796427,3,0,0,142
十二楼五城,旧颜颜ゝ,69,素问,芳菲,0,68,0,13893,176737,6451119,27863144,7,0,3,4
十二楼五城,旅行,69,神相,我带你去虾仁,2,42,0,4114874,12952566,0,16908794,3,0,0,275
十二楼五城,风无名,69,血河,嗨宝゛,7,30,0,4286656,11614508,188395,18107188,4,0,0,126
十二楼五城,利利利,69,血河,嗨宝゛,7,61,0,5085279,39265417,186905,20250833,1,0,0,171
十二楼五城,芳菲,69,血河,芳菲,3,47,0,3209280,35865723,158252,15191577,1,0,0,121
十二楼五城,风丶止,69,龙吟,我带你去虾仁,3,26,0,1701886,23761393,8560,16321340,5,0,0,29
十二楼五城,花屿郎,69,神相,福至,6,66,0,7149292,6180274,0,16954577,6,0,0,476
十二楼五城,一只榴莲゜,69,神相,我带你去虾仁,6,40,0,6313810,3210384,0,14187323,5,0,0,575
十二楼五城,勾引,69,神相,芳菲,1,30,0,6892011,5522037,0,9974000,4,0,0,542
十二楼五城,凌云阁丶追风,69,沧澜,嗨宝゛,1,16,0,913480,5481022,202373,19289672,8,0,0,54
十二楼五城,萧瑟,69,碎梦,福至,4,45,0,8499190,1120421,0,13989594,3,0,0,0
十二楼五城,醉揽星河,69,九灵,福至,0,7,0,629868,3880538,78285,33086304,4,0,0,69
十二楼五城,不听不听゛,69,素问,嗨宝゛,0,120,0,25814,189296,11419102,36227129,4,0,2,2
十二楼五城,白桵,69,素问,我带你去虾仁,0,57,0,22621,45852,9228947,27569093,4,0,5,12
十二楼五城,十九中二少年,69,碎梦,十九中二少年,0,0,690,76025,0,0,337306,0,0,0,37
十二楼五城,小離,69,龙吟,嗨宝゛,0,14,0,415382,2669431,228686,15439484,7,0,0,14
十二楼五城,一梦丶,69,玄机,芳菲,5,17,0,2032247,11183784,0,14863625,6,0,0,12
十二楼五城,安否,69,鸿音,福至,6,97,0,2364141,12077173,5588337,24666380,2,0,1,106
十二楼五城,可乐瓶瓶儿,69,素问,芳菲,0,54,0,15719,116984,7787630,32452118,7,0,2,4
十二楼五城,輓風丶,69,碎梦,輓風丶,0,0,1890,0,0,0,59354,0,0,0,12
十二楼五城,咆哮,69,九灵,芳菲,2,26,0,1365246,13977919,74929,26358299,6,11,0,105
十二楼五城,枫゜,69,血河,福至,5,28,0,2203923,22353217,171665,16504760,3,0,0,72
十二楼五城,玩弄小猫,69,鸿音,嗨宝゛,3,63,0,2282564,11063818,3948632,31187010,5,0,3,46
十二楼五城,竹神,69,素问,福至,0,92,0,28230,42047,9234803,33546162,6,0,2,4
十二楼五城,十二星座白羊,69,九灵,嗨宝゛,4,70,0,2298339,29334732,194660,31438981,2,21,0,239
十二楼五城,维澧,69,云瑶,我带你去虾仁,5,33,0,3570707,6721225,0,14166434,6,0,0,44
十二楼五城,外星小猫,69,素问,嗨宝゛,0,123,0,51611,205368,10851948,25945591,2,0,4,14
十二楼五城,良熙,69,铁衣,嗨宝゛,1,29,0,2677806,115164,128500,23911148,7,0,0,619
十二楼五城,薯片,69,玄机,福至,1,14,0,927462,9309149,0,11263856,10,0,0,2
十二楼五城,晓月林花落,69,潮光,嗨宝゛,0,33,0,1971893,8019997,231462,19346153,8,0,0,43
十二楼五城,一个沧澜,69,沧澜,福至,2,16,0,534224,11862701,67019,25335822,4,0,0,46
十二楼五城,念风,69,素问,我带你去虾仁,1,57,0,37340,241061,6762148,28839734,6,0,4,4
十二楼五城,沐雪ゝ,69,九灵,我带你去虾仁,3,35,0,1787004,7607883,146524,28421472,4,13,0,209
十二楼五城,老头,69,神相,我带你去虾仁,1,29,0,3816168,13236395,0,21352927,6,0,0,390
十二楼五城,不吃蒜,69,铁衣,芳菲,1,25,0,2444285,1743840,62875,23713578,4,0,0,466
十二楼五城,柿子丶,69,碎梦,嗨宝゛,2,69,0,2332386,43397882,147607,19365722,5,0,0,12
十二楼五城,望盏゛,69,神相,芳菲,7,81,0,4960667,15485183,0,24768557,3,0,0,355
十二楼五城,恋恋恋晴天,69,素问,福至,0,73,0,10988,300146,4942369,29448075,7,0,3,8
十二楼五城,菠萝丶,69,神相,福至,4,57,0,5496497,13453213,0,22270920,4,0,0,452
十二楼五城,无岄゛,69,鸿音,芳菲,1,82,0,1614828,2966213,3268622,26997860,4,0,0,82
十二楼五城,戒骄戒躁,69,素问,嗨宝゛,0,68,0,32198,200202,5551425,26711451,5,0,2,7
十二楼五城,三尺青峰,69,素问,我带你去虾仁,1,68,0,50046,12005,8040964,39192632,8,0,5,3
十二楼五城,云苓,69,素问,福至,0,78,0,35050,170176,8845691,34352179,7,0,3,4
十二楼五城,杨阳羊,69,神相,我带你去虾仁,8,55,0,5068080,10344483,0,21203261,3,0,0,330
十二楼五城,阿龍ゞ,69,神相,嗨宝゛,3,37,0,3289084,26139636,64936,22710972,3,0,0,214
十二楼五城,戒尘戒扰,69,血河,福至,5,35,0,3611434,2735922,245813,18701246,6,0,0,165
十二楼五城,呆呆,69,潮光,福至,3,39,0,2436460,31431132,20496,21882811,4,0,0,30
十二楼五城,鹿屿森,69,素问,福至,0,94,0,16476,83542,8077419,34469489,6,0,5,4
十二楼五城,瓜皮刘睡睡,69,鸿音,嗨宝゛,7,77,0,2486503,24071093,955948,35160679,5,0,2,83
十二楼五城,柠萌丶,69,素问,芳菲,0,96,0,26468,79355,8194161,31234580,4,0,2,3
十二楼五城,还是做不到吗,69,血河,嗨宝゛,9,71,0,3622877,40069262,212760,20771726,3,0,0,92
十二楼五城,蜜芽,69,碎梦,蜜芽,0,0,780,13567,0,0,2935140,4,0,0,60
十二楼五城,与夜,69,铁衣,福至,0,36,0,1751330,1733248,45480,27892784,5,0,0,239
十二楼五城,小秋,69,铁衣,芳菲,1,14,420,881493,1650103,13236,22426906,5,0,0,244
十二楼五城,思绪月,69,素问,嗨宝゛,0,84,0,26978,137472,7604724,30895966,8,0,5,8
十二楼五城,恶龙咆哮ゞ,69,血河,我带你去虾仁,9,24,0,1802410,12928920,99156,13751327,4,0,0,63
十二楼五城,汤小圆,69,神相,嗨宝゛,3,49,0,3301309,6160143,60903,15928219,4,0,0,190
十二楼五城,雾枝,69,素问,芳菲,0,98,0,34107,186442,9103244,28650646,4,0,7,8
十二楼五城,福至,69,铁衣,福至,1,19,0,1251653,1473748,65096,28112433,5,0,0,335
十二楼五城,灼曦,69,素问,嗨宝゛,0,132,0,47829,277964,10677395,35735993,2,0,5,8
十二楼五城,惜惜惜花眠,69,神相,福至,1,27,0,1984320,11862937,0,25944736,5,0,0,224
十二楼五城,柒乀,69,九灵,福至,0,24,0,622156,5771675,47644,27280193,6,16,0,18
十二楼五城,月见初,69,碎梦,芳菲,1,10,0,8039993,0,0,15348289,6,0,0,15
十二楼五城,碎星河,69,铁衣,我带你去虾仁,5,26,0,2052543,1846001,0,32442187,3,0,0,260
十二楼五城,百鬼夜行゛,69,铁衣,嗨宝゛,0,25,0,1693130,3116778,83313,24690168,3,0,0,249
十二楼五城,半斤,69,神相,福至,2,27,0,2988832,14296110,0,25996875,4,0,0,165
十二楼五城,青衣醉酒,69,神相,我带你去虾仁,3,42,0,4800789,14866789,0,16614179,4,0,0,272
十二楼五城,月枫,69,素问,福至,2,79,0,59179,135002,8020614,32717145,4,0,2,11
十二楼五城,呂小雨,69,血河,福至,5,32,0,3484995,9906493,142149,17030660,4,0,0,64
十二楼五城,我带你去虾仁,69,铁衣,我带你去虾仁,2,26,0,1292881,6459870,49020,30759894,4,0,1,185
十二楼五城,音尘,69,血河,福至,5,18,0,5500471,402676,278318,26130846,9,0,0,313
十二楼五城,夜夜夜丶,69,神相,芳菲,15,97,0,6076368,28462158,0,19576389,1,0,0,442
十二楼五城,嗨宝゛,69,血河,嗨宝゛,7,44,0,1760321,29551185,198560,31917447,3,0,0,28
十二楼五城,别叫我彦祖,69,神相,我带你去虾仁,3,31,0,3743806,9814277,0,18784018,3,0,0,304
十二楼五城,丷战部渡丷,69,素问,芳菲,0,64,0,19251,170578,5960455,27007790,5,0,2,2
十二楼五城,够钟,69,血河,嗨宝゛,6,25,0,4506305,10375882,316403,17290580,7,0,0,172
十二楼五城,鸿运当头ゞ,69,鸿音,芳菲,5,57,0,2083711,18302531,534888,26091943,4,0,2,49
十二楼五城,小风,69,鸿音,我带你去虾仁,2,60,0,1434140,4614133,4068286,32517730,5,0,2,62
十二楼五城,玖玖,69,素问,我带你去虾仁,1,64,0,34364,175455,6795107,23352300,4,0,4,3
十二楼五城,呆呆丶,69,素问,芳菲,0,77,0,32648,186160,7638638,34347328,1,0,4,5
